name,handedness,height,weight,avg,HR,name_clean,last_name
Tom Brown,R,73,170,0,0,Tom Brown,Brown
Denny Lemaster,R,73,182,0.13,4,Denny Lemaster,Lemaster
Joe Nolan,L,71,175,0.263,27,Joe Nolan,Nolan
Denny Doyle,L,69,175,0.25,16,Denny Doyle,Doyle
Jose Cardenal,R,70,150,0.275,138,Jose Cardenal,Cardenal
Mike Ryan,R,74,205,0.193,28,Mike Ryan,Ryan
Fritz Peterson,B,72,185,0.159,2,Fritz Peterson,Peterson
Dick Bertell,R,72,200,0.25,10,Dick Bertell,Bertell
Rod Kanehl,R,73,180,0.241,6,Rod Kanehl,Kanehl
Ozzie Osborn,R,74,195,0,0,Ozzie Osborn,Osborn
John LaRose,L,73,185,0,0,John LaRose,LaRose
Jeff Byrd,R,75,195,0,0,Jeff Byrd,Byrd
Juan Bonilla,R,69,170,0.256,7,Juan Bonilla,Bonilla
Frank Tepedino,L,71,185,0.241,6,Frank Tepedino,Tepedino
Jerry Kutzler,L,73,175,0,0,Jerry Kutzler,Kutzler
Rick Wise,R,73,180,0.195,15,Rick Wise,Wise
Darrell Evans,L,74,200,0.248,414,Darrell Evans,Evans
Buck Martinez,R,70,190,0.225,58,Buck Martinez,Martinez
John Wockenfuss,R,72,190,0.262,86,John Wockenfuss,Wockenfuss
Tommy McCraw,L,72,183,0.246,75,Tommy McCraw,McCraw
Jeff Barkley,B,75,185,0,0,Jeff Barkley,Barkley
Eric Wilkins,R,73,190,0,0,Eric Wilkins,Wilkins
Britt Burns,L,77,215,0,0,Britt Burns,Burns
Lee Lacy,R,73,175,0.286,91,Lee Lacy,Lacy
Pete Rose,B,71,192,0.303,160,Pete Rose,Rose
Danny Walton,R,72,195,0.223,28,Danny Walton,Walton
Bobby Cox,R,71,180,0.225,9,Bobby Cox,Cox
Brad Wellman,R,72,170,0.231,6,Brad Wellman,Wellman
Jeff Newman,R,74,215,0.224,63,Jeff Newman,Newman
Pedro Gonzalez,R,72,176,0.244,8,Pedro Gonzalez,Gonzalez
Nardi Contreras,B,74,193,0,0,Nardi Contreras,Contreras
Tommie Reynolds,R,74,190,0.226,12,Tommie Reynolds,Reynolds
Gene Clines,R,69,170,0.277,5,Gene Clines,Clines
Jim Hickman,R,75,192,0.252,159,Jim Hickman,Hickman
Jack Billingham,R,76,195,0.111,0,Jack Billingham,Billingham
